Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2015,03/14/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,After Race,Racing,Harness,Overcast,Donna's Scape,DAVID M. DEWHURST,FRANK J. COPPOLA JR,Donna's Scape-Tr. David Dewhurst-broke and DNF race-appeared lame in rear quarters,Steward's List
2015,03/14/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Overcast,Grab A Crab,ANDREW J. SARDELLA,FRANK J. COPPOLA JR,Grab A Crab-Tr. Andrew Sardella-appeared lame during warm-up-exam revealed LF lameness-scratched from race,Steward's List
2015,03/19/2015,EQUINE DEATH,Belmont Park (NYRA),1/8 Pole Training Track,Training,Thoroughbred,,Summer Hawk,JOHN T. TOSCANO JR,FERNANDO JARA,Summer Hawk-Tr. John Toscano  Jr.-sustained fx to LF medial sesamoid while breezing-euthanized,Equine Death
2015,03/21/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,3/4 Pole,Racing,Harness,Overcast,Vodka Is Terror,RONALD L. CUSHING,RONALD L. CUSHING,Vodka Is Terror-Tr. Ron Cushing-stopped-DNF-walked off track-irregular heartbeat-to be evaluated-must requalify,
2015,03/21/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,After Finish,Racing,Harness,Overcast,Bronson Blue Chip,TOMMY GARCIA,JAMES J. DEVAUX,Bronson Blue Chip-Tr. Tommy Garcia-poor finish-low appetite-possible illness-must requalify,
2015,03/23/2015,STEWARDS/VETS LIST,Yonkers Raceway,3/4 pole,Racing,Harness,,Mona Mona,MEL OWENS,JORDAN D. STRATTON,Mona Mona-Tr. Mel Owens-pulled up-DNF-LF lameness-double bandaged  medicated and shipped home,Steward's List
2015,03/26/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,52* Cloudy,Maleeh,KIARAN P. MCLAUGHLIN,IRAD ORTIZ JR,Maleeh-Tr. K. Mclaughlin-pulled up-ambulanced off-aggrevated previous R knee injury-must re-evaluate and requalify,Steward's List
2015,03/28/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,40* Mostly cloudy,Moldavite,EDWARD T. ALLARD,CHARLES C. LOPEZ,Moldavite-Trainer Edward Allard-fell unseating rider Charles Lopez-horse ambulanced off-no injury to horse or rider,
2015,03/28/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,3/8 pole,Racing,Harness,,Predator DVM,JOHN C. PODRES,DANIEL J. CAPPELLO JR,Predator DVM-Tr. John Podres-restrained to avoid another horse-choked-DNF-exam revealed no apparent problems to be scoped for further assessment,Steward's List
2015,03/29/2015,EQUINE DEATH,Belmont Park (NYRA),Barn B-51,Other,Thoroughbred,40* Cloudy,Eastcoast Lights,EUGENE A. REIFF,,Eastcoast Lights-Tr. Eugene Reiff-servere colic-unresponsive to treatment-euthanized,Equine Death
2015,04/02/2015,RACING INJURY,Saratoga Gaming & Raceway,Finish Line,Racing,Harness,Cloudy,Southern Swan,MARGARET E. SPAGNOLA,FRANK J. COPPOLA JR,Southern Swan-Tr. Margaret Spagnola-scratched-LR leg injury-exam revealed fx LR cannonbone-surgery performed next day-rehab for year-horse retired from racing,Injury
2015,04/04/2015,RACING INCIDENT,Aqueduct Racetrack (NYRA),Inside 1/16 pole,Racing,Thoroughbred,,Leilani's Ticket,GARY C. CONTESSA,JOSE L. ORTIZ,Leilani's Ticket-Tr.Gary Contessa-pulled up-walked over finish line-vet exam found no injuries-trained next day,
2015,04/09/2015,EQUINE DEATH,Yonkers Raceway,After 1/2 m pole,Racing,Harness,,On The Brink,MICHAEL TEMMING,DANIEL DUBE,On The Brink-Tr. Michael Temming-fx RF leg-euthanized,Euthanasia
2015,04/09/2015,EQUINE DEATH,Yonkers Raceway,Before 1/2,Racing,Harness,,Fashion Shark,DANIEL RENAUD,GEORGE J. BRENNAN,Fashion Shark-Tr. Daniel Renaud-collapsed and died on track (artery rupture),Equine Death
2015,04/09/2015,FALL OF HORSE,Aqueduct Racetrack (NYRA),3/8 pole,Racing,Thoroughbred,45* Cloudy,Black Friday Rush,JOSEPH F. ORSENO,ANGEL CRUZ,Black Friday Rush-Tr. Joseph Orseno-clipped heels and fell unseating rider Angel Cruz-horse sustained minor scrapes-resumed training-rider treated & released-rode next day,Accident
2015,04/11/2015,RACING INJURY,Aqueduct Racetrack (NYRA),Before Finish,Racing,Thoroughbred,,Pegasus T,CHRISTOPHER J. ENGLEHART,CHARLES C. LOPEZ,Pegasus T-Tr. Christopher Englehart-pulled up-ambulanced off-broke LF sesamoid-to surgery then retired,Steward's List
2015,04/12/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 pole,Racing,Thoroughbred,60* Clear,Con Sneaky,RICHARD (KERRY) K. METIVIER,SAMUEL JIMENEZ,Con Sneaky-Tr. Richard Metivier-fell-fx L tibia-euthanized on track,Equine Death
2015,04/12/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),5/8 pole,Racing,Thoroughbred,60* Clear,Subtle Humor,DAVID T. JACOBSON,CORNELIO VELASQUEZ,Subtle Humor-Tr. David Jacobson-pulled up-splint applied-ambulanced off to barn-fx RF leg-euthanized,Equine Death
2015,04/15/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,60* Partly Cloudy,Holy Corinthian,CHARLTON A. BAKER,WILMER GARCIA,Holy Corinthian-Tr. Charlton Baker-pulled up-ambulanced off-horse has sore feet-will work on feet for a month-then run,
2015,04/16/2015,EQUINE DEATH,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,56* Clear,Zenstone,GREGORY J. DIPRIMA,ERIC CANCEL,Zenstone-Tr. Gregory DiPrima-pulled up-rider off-ambulanced off-x-rays next day revealed fx RF leg-euthanized,Equine Death
2015,04/16/2015,RACING INJURY,Aqueduct Racetrack (NYRA),After finish,Racing,Thoroughbred,58* Clear,Alphabet Dancer,CHARLTON A. BAKER,FERNANDO JARA,Alphabet Dancer-Tr. Charlton Baker-pulledup-ambulanced off-fx RF knee-to surgery-filly to be retired,
